溥天之下，莫非王土；率土之滨，莫非王臣	ptfj
一个萝卜一个坑	yglkv
有过之而无不及	ygfjv
一个巴掌拍不响	ygbx
眼中钉，肉中刺	yfdc
一失足成千古恨	yezhv
一石激起千层浪	yejlv
一寸光阴一寸金	ycgj
一不做，二不休	ybzx
言必信，行必果	ybxgoo
眼不见，心不烦	ybjfi
玉不琢，不成器	ybfqv
心有余而力不足	xyyz
心有灵犀一点通	xylt
行亦禅，坐亦禅	xyjj
小心驶得万年船	xxewi
咸吃萝卜淡操心	xwlx
挟天子以令诸侯	xtzhi
奥斯特洛夫斯基	xstju
弦虽断，曲犹扬	xsdya
恶人自有恶人磨	xrzm
澳门特别行政区	xmtqa
新民主主义革命	xmqmoa
雄赳赳，气昂昂	xjjxvv
香港特别行政区	xgtqu
新官上任三把火	xgeh
小不忍则乱大谋	xbrm
吃一堑，长一智	wyqfo
五一国际劳动节	wygj
为他人作嫁衣裳	wtreo
万丈高楼平地起	wqgq
万千百十元角分	wqbf'
万仟佰拾元角分	wqbf
我命由我不由天	wmyt
屋漏偏逢连夜雨	wlpy
万里长征第一步	wljbv
无可奈何花落去	wknq
赤橙黄绿青蓝紫	wjhz
船到桥头自然直	wdqfu
船到江心补漏迟	wdjwu
车到山前必有路	wdel
天下乌鸦一般黑	txwh
天若有情天亦老	tryl
听其言而观其行	tqyx
踏破铁鞋无觅处	tptjo
跳进黄河洗不清	tjhqo
偷鸡不着蚀把米	tjbmi
跳到黄河洗不清	tdhqo
色字头上一把刀	sztdu
死猪不怕开水烫	sqbt
三句话不离本行	sjhh
四海之内皆兄弟	shfd
三个和尚没水吃	sghw
三分练，七分吃	sflwv
死道友不死贫道	sdyd
人心不足蛇吞象	rxbx
人怕出名猪怕壮	rpjf
人之初，性本善	rfje
人生自古谁无死	rezs
人生若只如初见	rerj
人生得意须尽欢	redhi
人到中年不得已	rdfy
牵一发而动全身	qyfev
情人眼里出西施	qryeo
睁着眼睛说瞎话	qqyhi
占着茅坑不拉屎	qqme
站着说话不腰疼	qqet
前怕狼，后怕虎	qplh
千里姻缘一线牵	qlyqu
朝来寒雨晚来风	qlhfu
竹篮打水一场空	qldku
强将手下无弱兵	qjeba
清华大学出版社	qhdeai
桥归桥，路归路	qgqlvi
清官难断家务事	qgne
睁着眼睛说瞎话	qfyhi
占着茅坑不拉屎	qfme
强中更有强中手	qfgea
站着说话不腰疼	qfet
这山望着那山高	qewg
请神容易送神难	qern
求大同，存小异	qdty
批评与自我批评	ppypi
批评和自我批评	pphp
赔了夫人又折兵	plfb
念一发而动全身	nyfei
宁夏回族自治区	nxhqo
女人心，海底针	nrxq
哪壶不开提哪壶	nhbh
哪管他人瓦上霜	ngte
你方唱罢我登场	nfjji
牛不喝水强按头	nbht
绵阳外国语学校	mywx
冒天下之大不韪	mtxwi
满招损，谦受益	mqsy
眉毛胡子一把抓	mmhfa
马克思列宁主义	mksya
马基雅维利主义	mjyya
莫管他人瓦上霜	mgtei
满招损，谦受益	mfsya
磨刀不误砍柴工	mdbg
浪子回头金不换	lzhha
柳暗花明又一村	lxhc
来而不往非礼也	lxby
两耳不闻窗外事	lxbe
来无影，去无踪	lwyz
乱拳打死老师傅	lqdf
老婆孩子热炕头	lphtu
联产承包责任制	ljjf
可持续发展战略	kwxl
举头三尺有神明	jtsm
拒人于千里之外	jrywi
尽人事，听天命	jrem
今朝有酒今朝醉	jqyz
柴米油盐酱醋茶	jmyw
界门纲目科属种	jmgfi
解铃还须系铃人	jlhr
既来之，则安之	jlffav
经济技术开发区	jjjqaa
长江后浪推前浪	jjhlu
敬酒不吃吃罚酒	jjbji
计划赶不上变化	jhgh
今朝有酒今朝醉	jfyz
出师未捷身先死	jewsa
初生牛犊不怕虎	jenh
近水楼台先得月	jelyu
车到山前必有路	jdelv
春蚕到死丝方尽	jcdjv
久病床前无孝子	jbwz
剪不断，理还乱	jbdl
薅资本主义羊毛	hzbmi
黑云压城城欲摧	hyyc
好心当成驴肝肺	hxdfa
哈尔滨工业大学	hxbx
皇天不负有心人	htbru
害人之心不可有	hrfy
横眉冷对千夫指	hmlf
好马不吃回头草	hmbc
好了疮疤忘了痛	hlwta
虎落平阳被犬欺	hlpq
画虎画皮难画骨	hhhg
好汉不吃眼前亏	hhbka
皇上不急太监急	hebju
话不投机半句多	hbtdo
国有大中型企业	gydyi
广西壮族自治区	gxfqo
管他三七二十一	gtsyu
各人自扫门前雪	grzx
管住嘴，迈开腿	gqzt
国家发展改革委	gjfwi
国家重点实验室	gjfei
关公门前耍大刀	ggmd
功夫不负有心人	gfbr
光说不练假把势	gebe
给点阳光就灿烂	gdyla
高等教育出版社	gdjeo
敢把皇帝拉下马	gbhm
扶摇直上九万里	fyfli
只羡鸳鸯不羡仙	fxyx
非物质文化遗产	fwfjiu
知人知面不知心	frfxu
防人之心不可无	frfw
众人拾柴火焰高	freg
发展才是硬道理	fqcl
知其不可而为之	fqbf
朝来寒雨晚来风	flhf
符拉迪沃斯托克	fldku
中华人民共和国	fhrg
中国人民解放军	fgrj
中国人民共和国	fgrg
中国科学院院士	fgke
中国工程院院士	fgge
中共中央政治局	fgfji
中国社会科学院	fgeyiio
中国少年先锋队	fged
只重衣衫不重人	ffyro
放之四海而皆准	ffsq
置之死地而后生	ffsei
这山望着那山高	fewg
俯首甘为孺子牛	fegni
肥水不流外人田	febt
身在福中不知福	ezffu
身在曹营心在汉	ezchu
山雨欲来风满楼	eyyli
十一届三中全会	eyjh
树欲静而风不止	eyjfv
煽阴风，点鬼火	eyfh
山重水复疑无路	eweli
山穷水尽疑无路	eqel
少年强，则国强	enqqi
神龙见首不见尾	eljw
上梁不正下梁歪	elbw
事出反常必有妖	ejfyv
说不清，道不明	ebqmo
胜不骄，败不馁	ebjn
电子工业出版社	dzgei
东一榔头西一棒	dylbv
多行不义必自毙	dxbb
打铁还需自身硬	dthyi
低头不见抬头见	dtbj
得饶人处且饶人	drrr
打破砂锅问到底	dpedi
得来全不费工夫	dlqf
打开天窗说亮话	dkthi
党和国家领导人	dhgri
大规模集成电路	dgml
丁是丁，卯是卯	dedmv
道不同不相为谋	dbtmo
打遍天下无敌手	dbte
此一时，彼一时	cyee
此地无银三百两	cdwl
不以一眚掩大德	byyd
布宜诺斯艾利斯	byns
不为五斗米折腰	bwwyv
不看僧面看佛面	bksm
不见棺材不落泪	bjglv
北京大学出版社	bjdei
不患寡而患不均	bhgjv
饱汉不知饿汉饥	bhbj
不敢越雷池一步	bgybv
不管三七二十一	bgsy
半殖民地半封建	bfmjo
不是冤家不聚头	beyt
不识庐山真面目	belm
不到长城非好汉	bdjh
不到黄河心不死	bdhsv
走一步看一步	zybb
自我感觉良好	zwgh
自我保护意识	zwbe
择日不如撞日	zrbr
自主知识产权	zqfq
资产阶级革命	zjjmoo
最高人民法院	zgry
族繁不及备载	zfbz
最低生活保障	zdeq
资本主义道路	zbql
资本主义国家	zbqjo
资本主义社会	zbqhov
资本主义制度	zbqd
有眼不识泰山	yybev
有限责任公司	yxzs
英雄所见略同	yxst
运筹帷幄之中	ywwf
异曲同工之妙	yqtm
一切皆有可能	yqjn
远亲不如近邻	yqblv
一浪高过一浪	ylglv
有机组成部分	yjzf
一回生二回熟	yheev
一股大碴子味	ygdw
一个鼻孔出气	ygbq
一分钱一分货	yfqhv
腰椎间盘突出	yfjju
一发不可收拾	yfbeva
亚的斯亚贝巴	ydsbv
一步一个脚印	ybyyvi
因病医治无效	ybyx
一把屎一把尿	ybenv
以不变应万变	ybbb
摁在地上摩擦	xzdc
需要指出的是	xyfevv
西安交通大学	xxjxv
信息高速公路	xxgli
耳闻不如一见	xwbj
夏虫不可语冰	xwbb
哀莫大于心死	xmdso
心理承受能力	xljl
迅雷不及掩耳	xlbxa
相见不如怀念	xjbnv
阿共仔的阴谋	xgzm
香港中文大学	xgfxu
西方资本主义	xfzyv
心动不如行动	xdbdo
西北工业大学	xbgxv
乌兹别克斯坦	wzbt
勿谓言之不预	wwyyu
无所不用其极	wsbjvu
闻名不如见面	wmbm
外来务工人员	wlwyu
唯恐天下不乱	wktl
无产阶级专政	wjjq
吹皱一池春水	wfyeo
物质文化遗产	wfwju
五十步笑百步	webb
吃不了兜着走	wblzo
万变不离其宗	wbbzv
脱氧核糖核酸	tyhs
天有不测风云	tyby
天无绝人之路	twjlv
太岁头上动土	tstt
团结就是力量	tjjli
天机不可泄露	tjbl
头发长见识短	tfjd
天时地利人和	tedh
思想政治工作	sxqz
四项基本原则	sxjz
思想道德建设	sxde
死无葬身之地	swzd
思念是一种病	sneb
死马当活马医	smdy
三寸不烂之舌	scbe
人有旦夕祸福	rydf
如入无人之境	rrwja
人人得而诛之	rrdf
人民内部矛盾	rmnd
人民民主专政	rmmqi
人民生活水平	rmep
人民当家作主	rmdq
人民代表大会	rmdh
人力资源管理	rlzl
热脸贴冷屁股	rltgi
热锅上的蚂蚁	rgey
睁一眼闭一眼	qyyyi
求爷爷告奶奶	qyyn
占有一席之地	qyyd
前言不搭后语	qyby
真心话大冒险	qxhx
且听下回分解	qtxji
求人不如求己	qrbjvi
强扭的瓜不甜	qndta
全面贯彻落实	qmgei
真金不怕火炼	qjblu
全国人大代表	qgrbi
全国各族人民	qggmi
全国代表大会	qgdhi
睁只眼闭只眼	qfyyi
政治协商制度	qfxdv
政府工作报告	qfggv
千叮咛万嘱咐	qdnf
气不打一处来	qbdlu
盼星星盼月亮	pxxli
屁股决定脑袋	pgjda
男子汉大丈夫	nzhf
牛头不对马嘴	ntbz
南无阿弥陀佛	nmxf
内蒙古自治区	nmgq
你不仁我不义	nbry
你拨打的电话	nbdh
民族资产阶级	mzzj
民族区域自治	mzqfa
绵阳普明中学	mypx
绵阳南山中学	mynx
贸易保护主义	mybyu
没文化真可怕	mwhpa
明人不做暗事	mrbe
摸着石头过河	mqehi
睦邻友好关系	mlyx
马克思恩格斯	mkssa
马克思主义者	mksq
马克思主义者	mksfa
摸着石头过河	mfeh
麻省理工学院	mely
门不当户不对	mbdd
流言止于智者	lyfqao
流言止于智者	lyffa
立于不败之地	lybd
路线方针政策	lxfc
老死不相往来	lsbl
令人叹为观止	lrtfi
令人难以置信	lrnx
良禽择木而栖	lqzq
理论联系实际	llljv
联合国秘书长	lhgqvi
联合国安理会	lhgh
历史唯物主义	lewy
雷声大雨点小	ledx
可遇而不可求	kyxq
科学社会主义	kxey
可望而不可即	kwxjv
卡拉什尼科夫	klef
会计师事务所	kjesi
口惠而实不至	khxf
产业结构调整	jyjqo
吉尔吉斯斯坦	jxjt
坚持就是胜利	jwjli
坚持改革开放	jwgfi
长痛不如短痛	jtbt
吉人自有天相	jrzx
九年义务教育	jnyy
九牛二虎之力	jnxlu
加利福尼亚州	jlffa
捷克斯洛伐克	jkski
经济体制改革	jjtga
春节联欢晚会	jjlhv
经济社会发展	jjeqa
岌岌不可终日	jjbr
九九八十一难	jjbnu
计划经济体制	jhjfo
陈芝麻烂谷子	jfmza
精神文明建设	jeweoo
决胜千里之外	jeqw
几十年如一日	jenr
建设社会主义	jeey
井水不犯河水	jebev
拆东墙补西墙	jdqq
鸡蛋里挑骨头	jdlt
极端个人主义	jdgy
据不完全统计	jbwj'
汉语拼音方案	hypx
毫无还手之力	hwhlo
滑天下之大稽	htxja
好人一生平安	hryxai
华南理工大学	hnlxi
好男不跟女斗	hnbd
很长一段时间	hjyj
惶惶不可终日	hhbr
化干戈为玉帛	hggb
宏观调控体系	hgdx
化腐朽为神奇	hfxqi
还治其人之身	hfqev
华中科技大学	hfkx
海水不可斗量	hebla
河水不犯井水	hebe
华东理工大学	hdlxi
华东师范大学	hdex
顾左右而言他	gzytv
挂羊头卖狗肉	gytri
国务院副总理	gwyliu
过五关斩六将	gwgj
光天化日之下	gthx
敢怒而不敢言	gnxy
国内生产总值	gnef
国民生产总值	gmef
国际先进水平	gjxp
高级人民法院	gjry
各级人民政府	gjrfu
共产主义社会	gjqhv
工程技术人员	gjjy
构建和谐社会	gjhhv
恭敬不如从命	gjbm
改革开放以来	ggkl
改革开放以后	ggkh
股份有限公司	gfys
工商行政管理	gexl
高射炮打蚊子	gepz
广大人民群众	gdrf
高不成低不就	gbjjo
重要组成部分	fyzf
中央人民政府	fyrf
中央领导集体	fylt
职业技术学院	fyjyv
中央军委主席	fyjxii
中央国家机关	fygg
只许州官放火	fxfho
忠孝不能两全	fxbqi
植物大战僵尸	fwdev
发展是硬道理	fqel
反其道而行之	fqdfu
风马牛不相及	fmnj
放长线钓大鱼	fjxyo
直接经济损失	fjjeu
非公有制经济	fgyji
中国人民银行	fgrxi
中国人民大学	fgrx
中国政法大学	fgqxi
中国农业大学	fgnx
中国农业银行	fgnh
中国科技大学	fgkx
中国建设银行	fgjhi
中国共产党人	fggr
中国工商银行	fggh
只管生不管养	fgey
中国社会科学	fgex
种种迹象表明	ffjm'
说一千道一万	eyqw
熟悉的陌生人	exdro
手无缚鸡之力	ewfl
深入贯彻落实	ergea
上气不接下气	eqbq
生米煮成熟饭	emqf
生命财产安全	emcq
杀鸡焉用牛刀	ejydu
世界先进水平	ejxp
世界文化遗产	ejwjv
世界卫生组织	ejwfv
世界民族之林	ejml
世界贸易组织	ejmf
市场经济体制	ejjfo
上海交通大学	ehjx
上海合作组织	ehhf
社会保障体系	ehbxo
生活不能自理	ehbl
水至清则无鱼	efqy
傻傻分不清楚	eefji
伸手不见五指	eebfi
说多了都是泪	edllo
说曹操曹操到	eccd
神不知鬼不觉	ebfjo
刀子嘴豆腐心	dzzx
电子科技大学	dzkx
对乙酰氨基酚	dyxfa
待我长发及腰	dwjyu
对外经济贸易	dwjy
第三世界国家	dsejuv
当面锣对面鼓	dmlgi
动脉粥样硬化	dmfh
大连理工大学	dllxv
颠过来倒过去	dglq
东风压倒西风	dfyfv
打肿脸充胖子	dflz
党风廉政建设	dflei
地方保护主义	dfby
大多数情况下	ddex
从入门到精通	crmt
从入门到放弃	crmq
从删库到跑路	cekl
猜不透摸不着	cbtq
猜不透摸不着	cbtf
不足为外人道	bzwdvo
不按牌理出牌	bxpp
不许百姓点灯	bxbd
百闻不如一见	bwbjvo
百思不得其解	bsbjv
辩证唯物主义	bqwy
毕其功于一役	bqgyv
不可同日而语	bktyv
北京体育大学	bjtx
北京理工大学	bjlxio
北京科技大学	bjkxi
北京师范大学	bjexi
八杆子打不着	bgzf
不费吹灰之力	bfwlv
不知天高地厚	bfth
不知如何是好	bfrh
不分青红皂白	bfqbv
不知老之将至	bflfv
表示压力很大	beyd
不食人间烟火	berh
表示毫无压力	behl
不得已而为之	bdyfv
剥夺政治权利	bdqla
不登大雅之堂	bddt
不饱和脂肪酸	bbhs
走自己的路	zzjlv
砸自己的脚	zzjjv
自在不成人	zzbr
自以为得计	zywju
自由贸易区	zymqu
造血干细胞	zxgb
自然保护区	zrbq
自然辩证法	zrbf
在这一点上	zqye
足球俱乐部	zqjb
自觉不自觉	zjbju
最惠国待遇	zhgy
最高领导人	zglr
怎敢不低头	zgbt
在这一点上	zfyev
最重要的事	zfyeo
最终解释权	zfjqo
钻石王老五	zewwi
坐山观虎斗	zegd
宜早不宜晚	yzbwo
一言以蔽之	yyyfv
有意而为之	yyxf
银样镴枪头	yylt
依样画葫芦	yyhli
原因很简单	yyhdv
以小人之心	yxrx
也许是因为	yxewa
疑心生暗鬼	yxeg
一锤子买卖	ywzmv
一物降一物	ywxwv
一问三不知	ywsfvo
意味着什么	ywqm
意味着什么	ywfm
一碗水端平	ywep
樱桃小丸子	ytxz
一套接一套	ytjt
一天比一天	ytbt
欲速则不达	yszd
伊斯坦布尔	ystx
元素周期表	ysfb
庸人自扰之	yrzf
跃然于纸上	yrye
有情饮水饱	yqyb
以其人之道	yqrd
一朝被蛇咬	yqbyv
一去不复返	yqbf
一批又一批	ypypvi
一年又一年	ynynv
一年比一年	ynbn
一亩三分地	ymsdv
雅鲁藏布江	ylzjv
一力降十会	ylxh
伊拉克战争	ylkq
一览众山小	ylfxv
原来是这样	yley
亚里士多德	yledvi
液晶显示器	yjxqa
原教旨主义	yjfyv
应尽的义务	yjdw
应届毕业生	yjbe
约翰内斯堡	yhnb
依葫芦画瓢	yhlpi
野火烧不尽	yheji
一棍子打死	ygzs
艺高人胆大	ygrd
一个接一个	ygjgv
一个多星期	ygdq
一个多小时	ygdevi
一个比一个	ygbg
一个半小时	ygbe
一抓一大把	yfybv
一朝权在手	yfqev
一朝被蛇咬	yfbyvu
一发不可收	yfbev
一点也没有	ydyyvi
一打一个准	ydyqv
一动也不动	ydydv
印度尼西亚	ydny
移动互联网	ydhwu
一次比一次	ycbc
有鼻子有眼	ybzy
哑巴吃黄连	ybwlo
一鼻孔出气	ybkq
眼不见为净	ybjji
西藏自治区	xzzq
小资产阶级	xzjji
二一添作五	xytw
学而优则仕	xxyeo
阿尔及利亚	xxjya
信息产业部	xxjbi
吸血鬼日记	xxgjo
先下手为强	xxeq
学而时习之	xxefo
恶向胆边生	xxdevu
阿尔巴尼亚	xxbya
阿尔卑斯山	xxbe
相忘于江湖	xwyh
小巫见大巫	xwjwi
新闻出版署	xwje
新文化运动	xwhdo
新闻工作者	xwgq
新闻工作者	xwgfo
新闻发言人	xwfro
新闻发布会	xwfh
二桃杀三士	xtee
埃塞俄比亚	xsxyv
艾森豪威尔	xshx
恶人先告状	xrxf
小泉纯一郎	xqjl
笑贫不笑娼	xpbj
阿姆斯特朗	xmsla
阿姆斯特丹	xmsd
新民主主义	xmqy
喜马拉雅山	xmlev
羡慕嫉妒恨	xmjho
吓了一大跳	xlytoa
吸了一口气	xlyq
俄罗斯方块	xlsk
阿拉伯数字	xlbzai
奥卡姆剃刀	xkmdu
学科带头人	xkdro
线程池队列	xjwla
先进工作者	xjgqu
先进工作者	xjgfu
新技术革命	xjem
先进生产力	xjelu
新华社记者	xhefo
心肝脾肺肾	xgpe
习惯成自然	xgjra
恶之欲其死	xfysv
爱之欲其生	xfyeu
消费者协会	xfqh
西方经济学	xfjx
消费者协会	xffha
二十一世纪	xeyjv
学术研讨会	xeyh
二十四节气	xesq
刑事诉讼法	xesf
二十四小时	xesev
现实主义者	xeqf
新石器时代	xeqdo
相当一部分	xdyf
现代化进程	xdhjv
现代化建设	xdhevi
幸存者偏差	xcqwv
幸存者偏差	xcfwv
而不仅仅是	xbjev
西部大开发	xbdfv
稳坐钓鱼船	wzdw
稳坐钓鱼台	wzdt
网易云音乐	wyyy
物以稀为贵	wyxgu
无用武之地	wywd
文艺出版社	wyjeo
无垠的太空	wydkv
唯有读书高	wydgo
我也不知道	wybd
无线路由器	wxlq
微型计算机	wxjju
万万没想到	wwmdv
唯物辩证法	wwbfo
文体两开花	wtlho
问题的关键	wtdj
为人民服务	wrmw
吃软不吃硬	wrby
无政府主义	wqfy
无巧不成书	wqbe
无论怎么样	wlzyvo
温良恭俭让	wlgra
无立锥之地	wlfd
吃力不讨好	wlbh
吃粮不管事	wlbe
吃了豹子胆	wlbdo
无可无不可	wkwkv
无记名投票	wjmp
吹胡子瞪眼	whzy
文化大革命	whdmo
外国语学院	wgyy
外国语大学	wgyx
无官一身轻	wgyqv
无功不受禄	wgbl
无招胜有招	wfefv
无风不起浪	wfblv
网上营业厅	weyti
温水煮青蛙	weqw
万事开头难	wekn
无敌于天下	wdyxv
温度传感器	wdwq
无党派人士	wdpe
五斗米折腰	wdmy
万般皆下品	wbjp
喘不过气来	wbglo
天字第一号	tzdh
退一万步讲	tywja
退一万步说	tywea
天涯若比邻	tyrl
他乡遇故知	txyf
塔西佗陷阱	txtj
忒修斯之船	txsw
退而求其次	txqc
天安门城楼	txml
天安门广场	txmj
天下本无事	txbe
天文望远镜	twwj
天王盖地虎	twghv
泰坦尼克号	ttnh
唐宋元明清	tsyq
躺着也中枪	tqyq
叹了一口气	tlyq
桃李满天下	tlmx
脱裤子放屁	tkzp
土库曼斯坦	tkmt
通常情况下	tjqxa
铁杵磨成针	tjmq
塔吉克斯坦	tjkt
天高任鸟飞	tgrf
天高皇帝远	tghy
躺着也中枪	tfyq
弹指一挥间	tfyj
特殊情况下	teqxu
碳水化合物	tehwv
天上掉馅饼	tedbv
贪多嚼不烂	tdjli
特别行政区	tbxqu
痛并快乐着	tbkf
透不过气来	tbglu
死鸭子嘴硬	syzy
三英战吕布	syqbv
岁月不饶人	sybr
三下五除二	sxwx
塞尔达传说	sxdeo
斯坦福大学	stfx
三思而后行	ssxxv
三七二十一	sqxy
四斋烝鹅心	sqqxi
死宅真恶心	sqqx
索尼爱立信	snxx
司马昭之心	smqx
司马昭之心	smfx
松了一口气	slyq
斯洛文尼亚	slwy
四两拨千斤	slbji
所见即所得	sjjd
三个有利于	sgyyv
四个现代化	sgxh
三个臭皮匠	sgwjv
赛过诸葛亮	sgql
送佛送到西	sfsx
死宅真恶心	sfqxv
四斋烝鹅心	sfqxi
三分钟热度	sffdv
速度与激情	sdyq
斯德哥尔摩	sdgm
三百六十五	sblw
三百六十行	sblh
三百六十度	sbldv
人与人之间	ryrj
若要人不知	ryrfi
仁义礼智信	rylxi
人心隔肚皮	rxgp
瑞雪兆丰年	rxfn
润物细无声	rwxe
人体工程学	rtgx'
乳糖不耐症	rtbq
乳糖不耐受	rtbe
人民检察院	rmjy
人民解放军	rmjj
人民出版社	rmje
人民共和国	rmgg
人民大会堂	rmdt
人类历史上	rllei
日久见人心	rjjxo
人间重晚晴	rjfq
任重而道远	rfxy
人生路不熟	relei
人大常委会	rdjh
人菜瘾又大	rcyd
容不容得下	rbrx
人不可貌相	rbkx
擒贼先擒王	qzxwi
正则表达式	qzbev
睁眼说瞎话	qyeh
